Description,Exchange_Name,Commodity_Indicator,Product_Description,Future_Option_Indicator,CME__Globex__Volume,Pit_Volume,ExPit_Volume,OTC_Volume,Total_Volume,MTD_ADV,Open_Interest,trade_date
AG PRODUCTS,Chicago Board of Trade (STATS),WZ3,CHICAGO SRW WHEAT WEEKLY OPTIONS WEEK 3 CALL,O,0.0,0.0,0.0,0.0,0.0,19.1666666666667,235.0,20200109
AG PRODUCTS,Chicago Board of Trade (STATS),WZC,CONSECUTIVE CHICAGO SRW WHEAT CALENDAR SPREAD CALL,O,0.0,0.0,0.0,0.0,0.0,33.3333333333333,200.0,20200109
AG PRODUCTS,Chicago Board of Trade (STATS),WZC,CONSECUTIVE CHICAGO SRW WHEAT CALENDAR SPREAD PUT,O,0.0,0.0,0.0,0.0,0.0,54.1666666666667,700.0,20200109
AG PRODUCTS,Chicago Board of Trade (STATS),XCW,CW ICSO PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20200109
AG PRODUCTS,Chicago Board of Trade (STATS),ZSC,CONSECUTIVE SOYBEAN CALENDAR SPREAD PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),C0A,2ND CONTRACT BACK LIVE CATTLE CSO CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),C0A,2ND CONTRACT BACK LIVE CATTLE CSO PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),CPO,PALM OIL FUTURE,F,0.0,0.0,0.0,0.0,0.0,230.666666666667,5475.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),DK,CLASS IV MILK CALL,O,0.0,0.0,0.0,0.0,0.0,13.0,3767.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),DK,CLASS IV MILK PUT,O,0.0,0.0,0.0,0.0,0.0,46.8333333333333,4907.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),DY,DRY WHEY CALL,O,0.0,0.0,0.0,0.0,0.0,5.0,683.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),DY,DRY WHEY PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,578.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),JQ,CLASS III MID CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20200109
AG PRODUCTS,Chicago Mercantile Exchange (STATS),JQ,CLASS III MID PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20200109
AG PRODUCTS,CME Group OTC (STATS),CPC,MALAYSIAN CRUDE PALM OIL CAL SWAP,F,0.0,0.0,,0.0,0.0,40.0,27280.0,20200109
AG PRODUCTS,CME Group OTC (STATS),UFN,UREA (GRANULAR) FOB U.S. GULF SWAP,F,0.0,0.0,,0.0,0.0,0.0,430.0,20200109
AG PRODUCTS,CME Group OTC (STATS),UFU,UAN FOB NOLA SWAP,F,0.0,0.0,,0.0,0.0,0.0,570.0,20200109
AG PRODUCTS,NYMEX(STATS),TT,COTTON FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.333333333333333,1.0,20200109
Total:,,,,,15497054.0,1118904.0,0.0,694130.0,17310088.0,18671764.8333333,118534393.0,20200109
,,,,,,,,,,,,20200109
"NOTE: All references to CME Group volume and OI in this report exclude our non-traditional TRAKRs products, for which CME",,,,,,,,,,,,20200109
Group receives significantly lower clearing fees than other CME Group products.,,,,,,,,,,,,20200109
*CME Energy and CME Metals open interest data reflect the previous trading day's noon adjusted open interest.,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
,,,,,,,,,,,,20200109
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR FUTURE,F,1550868.0,16433.0,0.0,4122.0,1571423.0,2047579.85714286,11160175.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE FUTURE,F,1324607.0,16155.0,0.0,29266.0,1370028.0,1736980.42857143,3715876.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y NOTE FUTURE,F,607965.0,1956.0,0.0,23169.0,633090.0,822059.571428572,4250975.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE FUTURE,F,344710.0,0.0,0.0,46258.0,390968.0,539377.285714286,3600935.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E0,1YR MIDCRV CALL,O,125602.0,234779.0,0.0,0.0,360381.0,191752.428571429,3627512.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR PUT,O,77825.0,227051.0,0.0,0.0,304876.0,396240.428571429,16609126.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE PUT,O,168776.0,53209.0,0.0,75000.0,296985.0,239518.142857143,1528361.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE CALL,O,219024.0,68491.0,0.0,0.0,287515.0,338990.0,2207174.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND FUTURE,F,263187.0,2240.0,0.0,4525.0,269952.0,328698.714285714,1024132.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR CALL,O,57053.0,141700.0,0.0,0.0,198753.0,591603.428571429,19765936.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE FUT,F,144999.0,0.0,0.0,9017.0,154016.0,202234.571428571,910778.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD FUTURE,F,132850.0,0.0,0.0,6000.0,138850.0,258125.285714286,1822796.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY2,10Y WK2 NOT PUT,O,109178.0,23200.0,0.0,0.0,132378.0,67037.2857142857,0.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND FUT,F,110036.0,0.0,0.0,12600.0,122636.0,141331.142857143,1247936.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E2,2YR MIDCRV CALL,O,32953.0,54100.0,0.0,0.0,87053.0,66079.2857142857,834306.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E0,1YR MIDCRV PUT,O,24157.0,39252.0,0.0,0.0,63409.0,71894.1428571429,1330247.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY2,10Y WK2 NOTE CALL,O,51817.0,10550.0,0.0,0.0,62367.0,41318.0,0.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E2,2YR MIDCRV PUT,O,36523.0,13098.0,0.0,0.0,49621.0,49203.7142857143,1089110.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y TRS NT PUT,O,25054.0,19799.0,0.0,0.0,44853.0,54186.2857142857,1071922.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y NOTE CALL,O,26441.0,16900.0,0.0,0.0,43341.0,69971.0,646166.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND CALL,O,35431.0,3368.0,0.0,0.0,38799.0,35649.4285714286,349192.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E3,3YR MIDCRV PUT,O,28203.0,9300.0,0.0,0.0,37503.0,17074.4285714286,465983.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND PUT,O,25216.0,6339.0,0.0,0.0,31555.0,57938.4285714286,549214.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E3,3YR MIDCRV CALL,O,11563.0,10800.0,0.0,0.0,22363.0,11903.4285714286,448474.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY3,10Y WK3 NOTE PUT,O,18269.0,3950.0,0.0,0.0,22219.0,34807.1428571429,101959.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY3,10Y WK3 NOTE CALL,O,13129.0,5450.0,0.0,0.0,18579.0,16193.2857142857,56551.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR3,THREE-MONTH SOFR FUTURES,F,17046.0,0.0,0.0,0.0,17046.0,11982.4285714286,134655.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV2,5Y WK2 NOTE PUT,O,13027.0,0.0,0.0,0.0,13027.0,6352.85714285714,0.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),SON,QUARTERLY IMM SONIA FUTURES,F,10428.0,0.0,0.0,0.0,10428.0,15206.8571428571,18294.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US2,30Y WK2 BOND PUT,O,9471.0,0.0,0.0,0.0,9471.0,13121.1428571429,0.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US2,30Y WK2 BOND CALL,O,7644.0,1800.0,0.0,0.0,9444.0,9020.0,0.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US3,30Y WK3 BOND PUT,O,7210.0,1400.0,0.0,0.0,8610.0,3777.28571428571,12984.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV2,5Y WK2 NOTE CALL,O,6950.0,1600.0,0.0,0.0,8550.0,6044.85714285714,0.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WY3,WK 3 PUT WEDS 10 YR TREASURY NOTE OPTIONS,O,7822.0,500.0,0.0,0.0,8322.0,8056.42857142857,36045.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR1,ONE-MONTH SOFR FUTURES,F,7359.0,0.0,0.0,0.0,7359.0,21501.4285714286,205832.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US3,30Y WK3 BOND CALL,O,4030.0,925.0,0.0,0.0,4955.0,2822.71428571429,11003.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE CALL,O,2755.0,400.0,0.0,0.0,3155.0,4574.71428571429,65488.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WF3,WK 3 PUT WEDS 5 YR TREASURY NOTE OPTIONS,O,2061.0,1000.0,0.0,0.0,3061.0,790.0,3997.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WF3,WK 3 CALL WEDS 5 YR TREASURY NOTE OPTIONS,O,1857.0,1000.0,0.0,0.0,2857.0,734.285714285714,3605.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV3,5Y WK3 NOTE CALL,O,2822.0,0.0,0.0,0.0,2822.0,2013.71428571429,7536.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WY3,WK 3 CALL WEDS 10 YR TREASURY NOTE OPTIONS,O,2330.0,0.0,0.0,0.0,2330.0,7668.42857142857,34358.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV3,5Y WK3 NOTE PUT,O,2262.0,0.0,0.0,0.0,2262.0,3214.57142857143,13575.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE PUT,O,1317.0,165.0,0.0,0.0,1482.0,6842.57142857143,196810.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WB3,WK 3 PUT WEDS 30 YR TREASURY BOND OPTIONS,O,1479.0,0.0,0.0,0.0,1479.0,336.285714285714,1915.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY5,10Y WK5 NOTE PUT,O,1389.0,0.0,0.0,0.0,1389.0,2063.57142857143,11639.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),MPC,MPC SONIA FUTURES,F,1254.0,0.0,0.0,0.0,1254.0,364.285714285714,2579.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),F1U,5 YEAR DELIVERABLE INTEREST RATE SWAP FUTURE,F,1075.0,0.0,0.0,0.0,1075.0,1575.85714285714,21841.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),N1U,10 YEAR DELIVERABLE INTEREST RATE SWAP FUTURE,F,1058.0,0.0,0.0,0.0,1058.0,1547.0,73276.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV5,5Y WK5 NOTE CALL,O,799.0,0.0,0.0,0.0,799.0,195.142857142857,1113.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TY5,10Y WK5 NOTE CALL,O,544.0,0.0,0.0,0.0,544.0,1924.42857142857,12161.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),WB3,WK 3 CALL WEDS 30 YR TREASURY BOND OPTIONS,O,464.0,0.0,0.0,0.0,464.0,369.857142857143,2461.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIY,10-YEAR ERIS SWAP FUTURES,F,382.0,0.0,0.0,0.0,382.0,271.857142857143,90884.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE CALL,O,0.0,300.0,0.0,0.0,300.0,72.1428571428571,7758.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US5,30Y WK5 BOND PUT,O,147.0,0.0,0.0,0.0,147.0,78.1428571428571,516.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),US5,30Y WK5 BOND CALL,O,136.0,0.0,0.0,0.0,136.0,127.714285714286,825.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIB,7-YEAR ERIS SWAP FUTURES,F,79.0,0.0,0.0,0.0,79.0,92.5714285714286,18671.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIW,5-YEAR ERIS SWAP FUTURES,F,40.0,0.0,0.0,0.0,40.0,969.285714285714,46701.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIT,2-YEAR ERIS SWAP FUTURE,F,15.0,0.0,0.0,0.0,15.0,225.0,39055.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND PUT,O,2.0,1.0,0.0,0.0,3.0,409.571428571429,31035.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),FV5,5Y WK5 NOTE PUT,O,1.0,0.0,0.0,0.0,1.0,137.714285714286,964.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIE,30-YEAR ERIS SWAP FUTURES,F,1.0,0.0,0.0,0.0,1.0,8.14285714285714,2912.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,5714.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,276.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIC,3-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,154.285714285714,12322.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LID,4-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,27.1428571428571,6931.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIL,15-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.0,10850.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),LIO,20-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.0,90.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,264.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),TW3,2Y WK3 NOTE CALL,O,0.0,0.0,0.0,0.0,0.0,0.142857142857143,1.0,20200110
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND CALL,O,0.0,0.0,0.0,0.0,0.0,2.28571428571429,573.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E4,4YR MIDCRV CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,32755.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),E4,4YR MIDCRV PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,11840.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),EF3,WK3 3YR MDCRV CALL,O,0.0,0.0,0.0,0.0,0.0,14.2857142857143,100.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),EM,1MTH LIBOR FUTURE,F,0.0,0.0,0.0,0.0,0.0,3.14285714285714,53.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR3,CALL OPTIONS ON THREE-MONTH SOFR FUTURES,O,0.0,0.0,0.0,0.0,0.0,0.714285714285714,5.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR3,PUT OPTIONS ON THREE-MONTH SOFR FUTURES,O,0.0,0.0,0.0,0.0,0.0,0.857142857142857,6.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),TE3,EURODOLLAR 6-MONTH MID-CURVE CALL OPTION,O,0.0,0.0,0.0,0.0,0.0,0.0,750.0,20200110
INTEREST RATES,Chicago Mercantile Exchange (STATS),TE3,EURODOLLAR 6-MONTH MID-CURVE PUT OPTION,O,0.0,0.0,0.0,0.0,0.0,0.0,750.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 FUTURE,F,1511298.0,0.0,0.0,27691.0,1538989.0,1586724.28571429,2710296.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),NQ,E-MINI NASDAQ 100 FUTURE,F,472069.0,0.0,0.0,500.0,472569.0,521797.285714286,210729.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),MNQ,MICRO E-MINI NASDAQ 100 FUTURE,F,234201.0,0.0,0.0,0.0,234201.0,261381.142857143,24018.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),MES,MICRO E-MINI S&P 500 FUTURES,F,218208.0,0.0,0.0,0.0,218208.0,266384.428571429,31026.0,20200110
EQUITY INDEX,Chicago Board of Trade (STATS),YM,MINI $5 DOW FUTURE,F,183414.0,0.0,0.0,0.0,183414.0,221439.857142857,101325.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),RTY,EMINI RUSSELL 2000 INDEX FUTURES,F,141513.0,0.0,0.0,5300.0,146813.0,147074.428571429,488557.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW3,EOW3 MINI S&P PUT,O,133136.0,0.0,0.0,0.0,133136.0,95847.8571428572,696737.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW3,EOW3 MINI S&P CALL,O,78107.0,0.0,0.0,0.0,78107.0,53381.5714285714,344866.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 PUT,O,73642.0,0.0,0.0,0.0,73642.0,71084.0,1018064.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW2,EOW2 MINI S&P CALL,O,59982.0,0.0,0.0,0.0,59982.0,34547.1428571429,7786.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW2,EOW2 MINI S&P PUT,O,58782.0,0.0,0.0,0.0,58782.0,73362.0,14785.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 CALL,O,44064.0,0.0,0.0,0.0,44064.0,40354.1428571429,423124.0,20200110
EQUITY INDEX,Chicago Board of Trade (STATS),MYM,MICRO E-MINI DOW JONES AVE FUTURE,F,42820.0,0.0,0.0,0.0,42820.0,47906.7142857143,4639.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),N1,NIKKEI (YEN),F,41352.0,0.0,0.0,0.0,41352.0,45089.1428571429,56553.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,39449.0,0.0,0.0,0.0,39449.0,15418.7142857143,73465.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW,EOM EMINI S&P 500 PUT,O,38788.0,0.0,0.0,0.0,38788.0,53267.4285714286,522058.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),M2K,MICRO E-MINI RUSSELL 2000 INDEX FUT,F,31471.0,0.0,0.0,0.0,31471.0,36617.4285714286,3729.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3C,E-MINI S&P 500 WEDNESDAY WEEK3 PUT,O,30946.0,0.0,0.0,0.0,30946.0,10891.5714285714,55312.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW,EOM EMINI S&P 500 CALL,O,22339.0,0.0,0.0,0.0,22339.0,32469.1428571429,274632.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW4,EOW4 MINI S&P PUT,O,22245.0,0.0,0.0,0.0,22245.0,13255.5714285714,63632.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E2A,E-MINI S&P 500 MONDAY WEEKLY CALL,O,20542.0,0.0,0.0,0.0,20542.0,7632.42857142857,23834.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),BTC,BITCOIN FUTURES,F,13522.0,0.0,0.0,0.0,13522.0,10611.8571428571,5166.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV3,EOW3 S&P 500 PUT,O,0.0,12361.0,0.0,0.0,12361.0,6273.28571428571,78427.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3C,E-MINI S&P 500 WEDNESDAY WEEK3 CALL,O,11382.0,0.0,0.0,0.0,11382.0,5499.57142857143,21329.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ME,E-MINI S&P MIDCAP 400 FUTURE,F,10375.0,0.0,0.0,122.0,10497.0,14979.4285714286,76699.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW1,EOW1 MINI S&P PUT,O,9352.0,0.0,0.0,0.0,9352.0,28900.7142857143,31686.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW4,EOW4 MINI S&P CALL,O,8857.0,0.0,0.0,0.0,8857.0,9211.57142857143,44576.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN3,E-MINI NASDAQ 100 WKLY THREE PUT,O,5321.0,0.0,0.0,0.0,5321.0,2984.28571428571,19939.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),NK,NIKKEI ($),F,5315.0,0.0,0.0,0.0,5315.0,9372.14285714286,20228.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),S2A,S&P 500 MONDAY WEEKLY PUT,O,0.0,5193.0,0.0,0.0,5193.0,2444.0,17135.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),GI,GSCI FUTURE,F,4573.0,0.0,0.0,0.0,4573.0,1540.42857142857,9877.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV,EOM S&P 500 PUT,O,0.0,4163.0,0.0,0.0,4163.0,2811.28571428571,27283.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EW1,EOW1 MINI S&P CALL,O,4132.0,0.0,0.0,0.0,4132.0,22924.2857142857,18937.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),EV1,EOW1 S&P 500 CALL,O,0.0,4105.0,0.0,0.0,4105.0,2306.28571428571,5874.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN2,E-MINI NASDAQ 100 WKLY TWO PUT,O,3868.0,0.0,0.0,0.0,3868.0,3027.42857142857,411.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),QN3,E-MINI NASDAQ 100 WKLY THREE CALL,O,3385.0,0.0,0.0,0.0,3385.0,2199.71428571429,12272.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E4A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,3115.0,0.0,0.0,0.0,3115.0,2088.14285714286,9934.0,20200110
EQUITY INDEX,Chicago Mercantile Exchange (STATS),E3A,E-MINI S&P 500 MONDAY WEEKLY PUT,O,3057.0,0.0,0.0,0.0,3057.0,4357.0,18985.0,20200110
